iter	Passed	Remaining
0	122	122784
1	124	62001
2	125	41802
3	127	31734
4	129	25827
5	131	21714
6	132	18839
7	133	16606
8	135	14869
9	137	13586
10	138	12426
11	139	11471
12	140	10674
13	142	10036
14	143	9447
15	144	8912
16	146	8458
17	147	8043
18	148	7661
19	149	7313
20	150	7002
21	151	6733
22	152	6482
23	153	6252
24	154	6036
25	155	5835
26	156	5656
27	158	5503
28	159	5348
29	160	5200
30	161	5057
31	162	4920
32	163	4801
33	164	4681
34	165	4570
35	166	4461
36	167	4359
37	168	4268
38	169	4180
39	170	4102
40	172	4023
41	173	3953
42	175	3900
43	176	3833
44	177	3766
45	178	3702
46	179	3647
47	181	3590
48	182	3532
49	182	3475
50	183	3420
51	184	3369
52	185	3319
53	186	3271
54	188	3231
55	189	3188
56	190	3144
57	190	3101
58	191	3059
59	192	3019
60	194	2989
61	195	2953
62	196	2926
63	197	2891
64	198	2859
65	200	2830
66	201	2800
67	202	2773
68	203	2747
69	204	2719
70	205	2690
71	206	2663
72	208	2642
73	209	2616
74	209	2589
75	210	2564
76	211	2540
77	212	2514
78	214	2505
79	216	2484
80	217	2464
81	218	2444
82	218	2418
83	219	2397
84	220	2377
85	221	2356
86	222	2338
87	224	2321
88	225	2303
89	226	2285
90	226	2265
91	227	2247
92	228	2230
93	229	2215
94	230	2199
95	232	2184
96	233	2169
97	234	2153
98	234	2137
99	235	2121
100	236	2105
101	237	2089
102	238	2077
103	239	2065
104	240	2051
105	241	2035
106	242	2027
107	244	2015
108	245	2004
109	246	1993
110	247	1981
111	248	1970
112	249	1957
113	250	1945
114	251	1932
115	252	1922
116	253	1911
117	254	1901
118	255	1889
119	256	1877
120	256	1865
121	257	1852
122	258	1843
123	259	1833
124	261	1830
125	262	1820
126	263	1809
127	264	1799
128	265	1791
129	266	1785
130	267	1775
131	268	1766
132	269	1755
133	270	1751
134	271	1741
135	272	1733
136	274	1730
137	276	1725
138	277	1716
139	278	1708
140	278	1699
141	280	1693
142	281	1685
143	282	1681
144	283	1673
145	284	1664
146	285	1655
147	286	1647
148	286	1638
149	288	1632
150	289	1625
151	290	1619
152	291	1611
153	292	1604
154	292	1596
155	293	1588
156	294	1580
157	295	1573
158	297	1572
159	299	1570
160	299	1562
161	300	1556
162	301	1549
163	302	1543
164	304	1539
165	305	1534
166	306	1529
167	307	1523
168	308	1516
169	309	1510
170	311	1510
171	312	1504
172	313	1498
173	314	1492
174	315	1486
175	315	1479
176	317	1474
177	318	1469
178	319	1464
179	320	1458
180	321	1452
181	322	1447
182	322	1441
183	323	1435
184	324	1429
185	325	1424
186	326	1418
187	327	1413
188	327	1407
189	328	1401
190	329	1395
191	330	1390
192	331	1386
193	332	1381
194	333	1376
195	334	1372
196	335	1366
197	336	1361
198	337	1357
199	338	1352
200	338	1347
201	339	1342
202	340	1337
203	341	1332
204	342	1327
205	343	1323
206	344	1318
207	345	1313
208	345	1309
209	347	1305
210	347	1300
211	348	1296
212	349	1292
213	350	1287
214	351	1282
215	352	1278
216	353	1274
217	353	1269
218	354	1264
219	355	1259
220	356	1254
221	356	1250
222	357	1245
223	358	1241
224	359	1236
225	359	1232
226	360	1228
227	361	1225
228	362	1221
229	363	1217
230	364	1212
231	365	1208
232	365	1204
233	366	1200
234	367	1196
235	368	1192
236	369	1188
237	369	1184
238	370	1179
239	371	1176
240	372	1172
241	372	1168
242	373	1164
243	374	1160
244	375	1156
245	376	1153
246	377	1149
247	378	1146
248	378	1142
249	379	1138
250	380	1135
251	381	1131
252	381	1127
253	382	1123
254	383	1120
255	384	1116
256	385	1113
257	385	1109
258	386	1106
259	387	1102
260	388	1099
261	389	1096
262	390	1092
263	390	1089
264	391	1086
265	392	1083
266	393	1080
267	394	1077
268	395	1073
269	396	1070
270	396	1067
271	397	1063
272	398	1060
273	399	1057
274	399	1054
275	400	1051
276	401	1047
277	402	1044
278	403	1041
279	403	1038
280	404	1035
281	405	1032
282	406	1029
283	407	1026
284	407	1023
285	408	1020
286	409	1017
287	410	1014
288	411	1011
289	411	1008
290	412	1005
291	413	1002
292	414	999
293	415	996
294	415	994
295	416	991
296	417	988
297	418	985
298	419	982
299	420	980
300	420	977
301	421	975
302	422	972
303	423	969
304	424	966
305	425	964
306	425	961
307	426	958
308	427	956
309	428	953
310	429	950
311	429	947
312	430	945
313	431	943
314	432	940
315	433	938
316	434	935
317	435	933
318	436	930
319	437	929
320	438	927
321	439	924
322	440	922
323	441	920
324	441	917
325	442	915
326	443	912
327	444	910
328	445	908
329	446	905
330	446	903
331	447	900
332	448	897
333	449	895
334	449	893
335	450	891
336	451	888
337	452	886
338	453	884
339	454	882
340	455	880
341	456	878
342	457	876
343	458	873
344	459	871
345	460	869
346	460	867
347	461	865
348	462	862
349	463	860
350	464	858
351	465	856
352	466	854
353	467	853
354	468	851
355	469	849
356	470	847
357	471	845
358	472	844
359	473	842
360	474	839
361	475	837
362	476	835
363	477	834
364	478	832
365	479	830
366	480	828
367	481	827
368	482	825
369	483	823
370	484	821
371	485	819
372	486	817
373	487	815
374	488	813
375	488	811
376	489	809
377	491	807
378	491	806
379	492	804
380	493	802
381	494	800
382	495	798
383	497	797
384	498	796
385	499	794
386	501	793
387	502	791
388	503	790
389	504	788
390	505	786
391	505	784
392	506	782
393	507	780
394	508	778
395	509	777
396	510	775
397	511	773
398	512	772
399	513	770
400	514	768
401	515	766
402	516	764
403	516	762
404	517	760
405	518	758
406	519	757
407	520	755
408	521	754
409	522	752
410	523	750
411	524	748
412	525	747
413	526	745
414	527	743
415	528	742
416	530	741
417	531	739
418	532	738
419	533	736
420	534	734
421	535	732
422	536	731
423	537	729
424	538	728
425	539	726
426	540	725
427	541	723
428	543	722
429	544	721
430	545	719
431	546	718
432	547	717
433	548	715
434	549	714
435	550	712
436	551	710
437	553	709
438	554	708
439	556	707
440	557	706
441	558	705
442	559	703
443	560	702
444	561	700
445	562	699
446	563	697
447	564	696
448	565	694
449	567	693
450	569	692
451	570	691
452	572	690
453	573	690
454	574	688
455	577	688
456	589	700
457	590	698
458	592	697
459	594	697
460	596	696
461	598	696
462	599	695
463	601	694
464	602	693
465	604	692
466	606	692
467	608	691
468	610	691
469	612	691
470	614	689
471	615	688
472	616	686
473	617	685
474	618	684
475	619	682
476	621	681
477	623	681
478	625	680
479	627	679
480	628	678
481	630	677
482	631	676
483	632	674
484	634	673
485	635	672
486	637	671
487	639	670
488	640	669
489	641	667
490	643	666
491	644	665
492	646	664
493	648	663
494	649	662
495	651	661
496	653	661
497	655	660
498	656	659
499	657	657
500	659	656
501	659	654
